Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-1963,,"Drama, Family",,,Narendra Dev,Ameeta,Jagdish Kanwal,Sudesh Kumar
-2011,121 min,"Comedy, Drama",4.9,40,Pammi Somal,Kirron Kher,Kanwaljit Singh,Jackie Shroff
-1944,,"Drama, History",,,Kidar Nath Sharma,Khurshid Begum,Jehanara Kajjan,Madhubala
-1957,,Drama,,,Ram Daryani,Paidi Jairaj,Sheila Ramani,Veena
-1983,,Drama,,,Subhash Gupta,Mahesh Jain,Veena Mehta,S.M. Zaheer
-2018,,"Action, Comedy, Drama",,,Sanoj Mishra,Vikrant Anand,Chandani,Sonam Mishra
-1955,163 min,"Comedy, Musical, Romance",7.4,94,Subodh Mukherji,Dev Anand,Nalini Jaywant,Ameeta
-1972,124 min,Drama,5.3,7,Jugal Kishore,Anil Dhawan,Yogeeta Bali,Ramesh Deo
-2008,51 min,Drama,,,Eliyas Qureshi,Sai Gundewar,Eliyas Qureshi,Zeba Rizvi
-1954,139 min,,,,Khwaja Ahmad Abbas,David Abraham,Sulochana Chatterjee,Jagdeep
-1969,,,,,Phani Majumdar,,,
-2003,156 min,"Comedy, Drama",8.1,"75,813",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh
-2014,128 min,Comedy,3.2,13,Shareeph Mansuri Saranawala,Ms. Jordiya Anna,Razak Khan,Omkar Das Manikpuri
-2017,140 min,"Action, Drama, Music",3.3,"3,022",Sabir Khan,Tiger Shroff,Nidhhi Agerwal,Nawazuddin Siddiqui
-1975,,Animation,7,5,Bhimsain,,,
-1999,136 min,"Action, Crime, Drama",4,24,Kanti Shah,Dharmendra,Sapna Sappu,Durgesh Nandini
-2005,,Thriller,,,Kishan Shah,Vishwajeet Soni,Monica Tripathi,Vinod Tripathi
-2014,150 min,History,,,Kurien Varnassala,Lalu Alex,Saikumar,
-1942,133 min,,5.8,8,Nanabhai Bhatt,Babubhai Mistry,Fearless Nadia,Lala Yaqoob
-1979,127 min,"Action, Adventure, Drama",6.5,20,Rajkumar Kohli,Sunil Dutt,Shatrughan Sinha,Rajesh Khanna
-1993,162 min,"Action, Crime, Drama",4.2,171,Rama Rao Tatineni,Govinda,Karisma Kapoor,Farha Naaz
-1970,,Action,,,Hercules,Indira,Azaad Irani,Kamran
-2005,,Action,,,Linda Arsenio,Gopika,Srikanth,Prithviraj Sukumaran
-1941,,Drama,,,Jayant Desai,,,
-1978,,Musical,,,Bindu,Ranjeet,,
-1996,,Action,5.5,13,K.C. Bokadia,Vinod Khanna,Zeba Bakhtiar,Aditya Pancholi
-1990,,,,,Madhavi,,,
-1996,,Crime,5.6,32,T.L.V. Prasad,Mithun Chakraborty,Ayesha Jhulka,Rohit Kumar Sharma
-1978,189 min,"Drama, Family",5.5,36,Ravi Tandon,Shashi Kapoor,Rekha,Parikshit Sahni
-1950,,,,,Iftekhar,Nalini Jaywant,Kishore Kumar,Sajjan
-1990,,Action,3.6,24,Rama Rao Tatineni,Vinod Khanna,Shabana Azmi,Vijayshanti
-1987,171 min,"Action, Comedy, Drama",4.8,48,Prakash Mehra,Raaj Kumar,Rakhee Gulzar,Raj Babbar
-1978,189 min,"Drama, Romance",7.5,"2,638",Prakash Mehra,Amitabh Bachchan,Vinod Khanna,Rakhee Gulzar
-2002,,Documentary,,,Pankaj Shukla,Sudesh Bhonsle,Prakash Mehra,
-1983,,Drama,,,K. Thakur,Neeta Mehta,Deepak Parashar,Rameshwari
-1946,,Crime,,,Gunjlal,,,
-1961,,,,,Nari Ghadiali,Chitra,Shah Agha,Master Rajdeep
-2016,,"Comedy, Drama",6.2,9,Suzad Iqbal Khan,Sanjay Singh,Asrani,Natalya Llina
-1999,,Horror,,,Kishan Shah,Shakti Kapoor,Jyoti Rana,Anuradha Sawant
-1976,,Documentary,,,Saeed Akhtar Mirza,Om Puri,,
-1985,,Comedy,7,5,Navin Kumar,Sudhir Dalvi,Kunal Kapoor,Roma Manik
-2000,,Horror,,,Dinesh Thakkar,Amit Pachori,Muskan,Vijay Solanki
-2004,130 min,"Drama, Romance, Thriller",5.4,"3,763",Anurag Basu,Mallika Sherawat,Ashmit Patel,Emraan Hashmi
-2011,127 min,"Action, Crime, Drama",6.2,"6,662",Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan
-2013,124 min,"Drama, Mystery, Thriller",4.9,"2,423",Vishesh Bhatt,Randeep Hooda,Aditi Rao Hydari,Sara Loren
,,"Crime, Thriller",,,Diwakar Naik,,,
-1971,,Mystery,,,A. Salaam,Jaymala Adarsh,Ramesh Bhatia,Bela Bose
-1970,,Thriller,,,Sayeeda Khan,Sujit Kumar,Sohrab Modi,
-2018,112 min,Mystery,,,Rupalee Verma,Atul Kulkarni,Rupesh Tillu,Taranjit Kaur
-1935,,,,,Patience Cooper,Gul Hamid,Indubala,Mazhar Khan
-2010,,"Action, Crime, Thriller",3.7,23,Himanshu Bhatt,Ayub M. Khan,Jackie Shroff,Samir Aftab
,,Thriller,,,Shiva Dagar,,,
,,Thriller,,,Shiva Dagar,,,
-1957,149 min,Drama,7.4,100,Hrishikesh Mukherjee,Shekhar,Suchitra Sen,Bipin Gupta
-1940,,,,,Chaturbhuj Doshi,Noor Mohammad Charlie,Khurshid Begum,Vasanti
-1986,,Drama,6.2,15,Jabbar Patel,Rekha,Naseeruddin Shah,Moon Moon Sen
-2004,151 min,"Action, Crime, Drama",5.5,"1,732",Sanjay Gupta,Anil Kapoor,Sameera Reddy,Aditya Pancholi
-1955,,"Drama, Family",,,M. Sadiq,Om Prakash,Karan Dewan,Jayant
-2019,130 min,Horror,4.8,352,Rajiv S. Ruia,Pooja Bisht,Rajniesh Duggall,Nazia Hussain
-2009,,Drama,,,Lavlin Thadani,,,
-2018,,Reality-TV,,,,,,
-2016,140 min,Musical,,,Tanuja Shankar Khan,Piyush Mishra,Paintal,Shivansu Sachan
,,Musical,,,Paparao Biyyala,Prakash Raj,Suhasini Mulay,Vinay Varma
-2019,101 min,"Drama, Romance",6.3,598,Sarthak Dasgupta,Neena Gupta,Divya Dutta,Manav Kaul
-2020,74 min,Drama,7.5,8,Ronit Jadhav,Ronit Jadhav,,
-2004,127 min,"Mystery, Romance",4.4,193,Rohit Manash,Rohit Krishnakant Nayyar,Manish Robin,Manish Sharma
-1943,,,,,Ram Kamlani,Dwarka Khosla,Vedi,Gope
-1992,135 min,"Comedy, Drama",7,296,Priyadarshan,Jay Mehta,Revathi,Annu Kapoor
-2017,132 min,Romance,5.7,31,J.S. Randhawa,J.S. Randhawa,Sonal Mudgal,Sanjay Mishra
-2010,,"Comedy, Horror, Romance",4.2,13,P. Som Shekar,Mukesh S. Bhatt,Rajshree Choudhary,Arijit Sen Gupta
-1993,163 min,"Action, Drama",7.1,314,Kodanda Rami Reddy A.,Chiranjeevi,Meena,Roja
-1996,,Action,4.3,7,Tinnu Anand,Kumar Gaurav,Poonam Dhillon,Vikas Anand
-1995,132 min,"Action, Comedy, Drama",7.6,"2,773",K.S. Ravikumar,Rajinikanth,Meena,Sarath Babu
-1975,,,,,Surendra Shailaj,Mallika Sarabhai,Rakesh Pandey,Jayshree T.
-2013,,"Drama, Musical",,,Suman Maitra,Seerat Alam,Daya Shankar Pandey,Ashutosh Rana
-2017,134 min,Drama,5.5,28,Harish Kumar,Dev Sharma,Aishwarya Devan,Mursaleem Qureshi
-2015,136 min,Documentary,6.7,82,Nakul Singh Sawhney,Shubhradeep Chakravorty,Meera Chaudhary,Nakul Singh Sawhney
-2019,,Drama,6.5,8,Shoib Nikash Shah,Varun Choudhary,Azmat Khwaja,Shoib Nikash Shah
-2010,90 min,"Documentary, Drama",7.3,27,Seong-gyou Lee,,,
-2018,95 min,Thriller,5.5,258,Samir Soni,Nora Fatehi,Elena Kazan,Suparna Moitra
-2005,120 min,"Drama, Sport",7.2,"1,186",Onir,Sanjay Suri,Juhi Chawla,Purab Kohli
-2020,106 min,"Mystery, Thriller",6.2,672,Prabhakar Meena Bhaskar Pant,Sharib Hashmi,Pushkar Bhaskar Pant,Anjali Patil
-2013,119 min,"Comedy, Drama, Romance",7.4,24,Stanley Joseph,Zenia Starr,Romin Khan,James Morcan
-2006,,Comedy,,,Rahul Kapoor,Kumar Gaurav,Bhairavi Goswami,Tanny Jones
-2021,80 min,Drama,7.4,63,Arpa Khan,Kamalika Chanda,Deep Kumar Singh,
-1984,96 min,"Action, Adventure, Comedy",7.5,391,Jijo Punnoose,Arvind,Sonia,Suresh
-2005,,Drama,,,Madhavan,Pooja Umashankar,,
-2000,,Thriller,,,,,,
-2018,126 min,Drama,,,Chandan Kumar,Aakansha Kadre,Meenal Kapoor,Jagat Rawat
-1975,,Documentary,,,Ismat Chughtai,,,
-2006,95 min,"Comedy, Drama, Romance",4.7,617,Rajeev Virani,Jason Lewis,Kashmira Shah,Gulshan Grover
-2016,104 min,Drama,6.2,13,Suzad Iqbal Khan,Pramod Goswami,Narendra Jha,Sagar Nath Jha
-1974,,Action,,,Rehman,Utpal Dutt,Rajeev,Prema Narayan
-2007,190 min,Animation,4.6,156,Rajiv S. Ruia,Ahsaas Channa,Upasna Singh,Kiran Janjani
-2008,117 min,"Animation, Family",4.4,59,Rajiv S. Ruia,Aayush Shah,Harsh Chhaya,Kurush Deboo
-2010,,"Animation, Action, Comedy",4.4,45,Rajiv S. Ruia,Rahul Pendkalkar,Baba Sehgal,Makarand Anaspure
-2020,,Comedy,,,Rajiv S. Ruia,,,
-2011,100 min,"Comedy, Crime, Drama",5.3,348,Raaghav Dar,Prateik,Kalki Koechlin,Arjun Mathur
-2017,87 min,Romance,6.4,26,Prashamit Chaudhury,Op Rai,Mudasir Zafar,Shaina Baweja
-2021,,Drama,,,Shoib Nikash Shah,Azmat Khwaja,Namita Lal,Shoib Nikash Shah
-2010,122 min,Drama,3.1,8,Rati Agnihotri,Prem Chopra,Shakti Kapoor,Mahinder Shera
-1970,143 min,Romance,6.9,23,S. Sukhdev,Shashi Kapoor,Sharmila Tagore,Rajendranath Malhotra
-2008,,"Action, Comedy, Crime",3.5,467,Eeshwar Nivas,Nikhil Dwivedi,Amrita Rao,Mithun Chakraborty
-2010,165 min,Drama,8,"101,014",Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon
,,Drama,,,Rupesh Paul,Dev Rathee,Raju Kher,Hemant Kapadia
-2011,67 min,Documentary,,,Sameera Jain,,,
-2019,57 min,"Comedy, Drama, Family",,,Priyanka Tanwar,Bharati Jaffrey,Sudeepta Singh,Srishti Rindani
-2018,,Documentary,,,Shreya Kant,Vikas Kailash,Anita Raghvan,
-1993,,Romance,,,Iqbal Channa,Pankaj Berry,Goga Kapoor,Anupam Kher
-2013,88 min,"Drama, Music",,,Jeremy Etienne,Julienne Rathore,,
-2009,,Drama,,,Kewal Singh,Gurpreet Ghuggi,Puneet Issar,Manisha
-2005,103 min,"Drama, Mystery, Thriller",6.1,890,Jijy Philip,Anil Kapoor,Suchitra Krishnamoorthi,Nandana Sen
-2020,,Drama,,,Rufy Khan,Rufy Khan,Ashraf Nagoo,Lokesh Kumari Sharma
-2012,120 min,Drama,6.5,13,Ranjan Shandilya,Kanwaljit Singh,Yashpal Sharma,Malay Chakrabarty
-2018,134 min,"Drama, Romance",5.7,13,Anil Dhoble,Meera Joshi,Sukanya Surve,Sandeep Sharma
-2004,,Thriller,4.3,6,Vinod Chhabra,Dhananjay Chauhan,Prem Chopra,Aarti Puri
-2015,115 min,"Action, Crime, Drama",7.2,"12,421",Navdeep Singh,Anushka Sharma,Neil Bhoopalam,Darshan Kumaar
-1988,,Romance,,,Pradeep Kumar,Jamuna,Pradeep Kumar,Chandra Mohan
-2015,120 min,Comedy,,,Manish Anjarlekar,Ajay Shankar,Vijay Chavan,Aadil Sharma
-2010,,"Comedy, Drama",6.1,274,Rahul Aggarwal,Om Puri,Paresh Rawal,Neena Gupta
-1938,,,,,R.N. Vaidya,Protima Dasgupta,Nurjahan,Baburao Pahelwan
-2011,132 min,Romance,5.4,9,Pammi Somal,Lillete Dubey,Gurpreet Ghuggi,Gary Gill
-2002,158 min,"Comedy, Drama, Musical",5,"2,756",Arjun Sablok,Saif Ali Khan,Hrithik Roshan,Esha Deol
-1971,,Animation,3.8,9,Bhimsain,,,
-1949,145 min,Romance,,,Ravindra Dave,Shyam Kumar,Suraiya,Wasti
-2004,150 min,"Drama, Musical, Romance",4.2,580,Ram Gopal Varma,Abhishek Bachchan,Antara Mali,Riteish Deshmukh
-1959,,,,,R.S. Tara,Ashok Kumar,Anoop Kumar,Shubha Khote
-1992,182 min,Action,4.1,20,S.K. Subash,Abhimanyyu Abhimanyu,Govinda,Aruna Irani
-1976,132 min,Romance,5.8,14,Yakub Hasan Rizvi,Shashi Kapoor,Hema Malini,Rajendranath Malhotra
-1986,,"Drama, Family",7.2,28,Rama Rao Tatineni,Sudha Chandran,Shekhar Suman,Aruna Irani
-1958,,,,,Vinod Desai,Manher Desai,Lalita Pawar,Nirupa Roy
-1976,133 min,Fantasy,,,S.N. Tripathi,Kanan Kaushal,Shahi Kapoor,Padma Khanna
-1962,,"Adventure, Drama, Fantasy",,,Shantilal Soni,Anjali Devi,Mahipal,Shashikala
-2004,,Thriller,,,Ramesh Bhatkar,Vijay Kadam,Rekha Rao,
-1963,,Fantasy,,,Uma Dutt,Anita Guha,Rajan Haksar,Indira
-2001,,Fantasy,,,Shiv Krishna,Prema,,
-1957,,,,,Babubhai Mistry,Ajit,Krishna Kumari,Shahu Modak
-1970,,,,,Babubhai Mistry,,,
-2003,,Fantasy,3.4,10,Ramanarayanan,Ramya Krishnan,Karan,Prithvi
-1966,,Fantasy,,,Shantilal Soni,Vijaya Choudhury,Indira,Mahipal
-1957,,"Adventure, Fantasy",6.5,6,Raman B. Desai,Manher Desai,Helen,Trilok Kapoor
-1987,127 min,Thriller,,,P.S. Prakash,Anuradha,Aruna,Jayamalini
-2004,,Thriller,,,Kishan Shah,Vinod Tripathi,Monica Tripathi,Vishwajeet Soni
-1973,,Fantasy,,,Shantilal Soni,Sujit Kumar,Sanjana,Yunus Bihari
-1963,,"Drama, Fantasy",,,Shantilal Soni,Mahipal,Vijaya Choudhury,Babloo
-1989,,"Action, Fantasy",,,Ramkumar Bohra,Rajni Bala,Firoz Irani,Puneet Issar
-1957,,Fantasy,,,Lekhraj Bhakri,Shakila,Mahipal,Hiralal
-1972,136 min,"Adventure, Drama, Fantasy",5.6,14,Babubhai Mistry,Jayshree Gadkar,Prithviraj Kapoor,Shree Bhagwan
-1953,,"Fantasy, Musical",,,Raman B. Desai,Nirupa Roy,Manher Desai,Durga Khote
-1971,,Fantasy,,,Shantilal Soni,Mohan Choti,Indira,Paidi Jairaj
-2001,,Thriller,,,S.N. Azhar,Usha Bachani,Rachna Goel,Shraddha Sharma
-1990,,Action,,,Krishna Ghattamaneni,Vijayshanti,,
-1991,136 min,Fantasy,4.4,17,V. Menon,Rakesh Bedi,Donald Burman,Gajendra Chauhan
-1980,,Action,,,Rajasekar,Rati Agnihotri,Chiranjeevi,Madhavi
-1987,,Drama,,,Madhuri,Sudhir Pandey,Lalita Pawar,Mahesh Raaj
-1995,157 min,"Action, Drama",5.5,564,Mahesh Bhatt,Naseeruddin Shah,Ajay Devgn,Juhi Chawla
-1990,,"Action, Crime, Drama",4.3,67,Shibu Mitra,Dharmendra,Chunky Panday,Sonam
-2001,,Horror,,,Dinesh Thakkar,Abhishek,Chandni Gupta,
-2018,,,,,Rajasekhar,,,
-1992,146 min,Drama,,,G.B. Vijay,Vijayan,Amala Akkineni,Prabhu
-1979,129 min,"Drama, Family",6,21,B. Padmanabham,Jeetendra,Leena Chandavarkar,Nirupa Roy
-1986,177 min,"Crime, Drama, Thriller",7.5,984,Mahesh Bhatt,Nutan,Kumar Gaurav,Sanjay Dutt
-2021,,Mystery,,,Anees Bazmee,Ajay Devgn,Sameera Reddy,Bhoomika Chawla
-2005,125 min,"Mystery, Thriller",5.9,81,Amol Shetge,Dia Mirza,Aryan Vaid,Mandira Bedi
-2016,137 min,"Action, Thriller",5.9,"3,892",A.R. Murugadoss,Sonakshi Sinha,Anurag Kashyap,Konkona Sen Sharma
-1987,129 min,"Thriller, Action",4.3,34,Ajay Kashyap,Shashi Kapoor,Sanjay Dutt,Amrita Singh
-2017,147 min,"Action, Thriller",6.3,"5,924",Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee
-1991,129 min,"Crime, Drama",4.5,11,Ajit Dewani,Bhanu,Daya Dongre,Gulshan Grover
-1977,127 min,Action,5.8,5,Manmohan Desai,Kamal Mehra,Biswajit Chatterjee,Shatrughan Sinha
-1994,128 min,"Action, Crime, Drama",4.5,127,Mahesh Bhatt,Pooja Bhatt,Mithun Chakraborty,Atul Agnihotri
,,Fantasy,,,Dushyant Kapoor,,,
-1981,,Drama,,,Neeta Mehta,Sarika,Rakesh Roshan,Ravindra Kapoor
-2013,66 min,"Drama, Thriller",6.7,18,Dipanshu Dang,Abhay Chaudhary,Arzoo Dandyan,Dipanshu Dang
-2005,,Thriller,,,Hemant Birje,Sanjeevani Gupta,Raza Murad,Prithvi
-1986,,Action,,,Virendra Sharma,Lalit Arora,Sahila Chaddha,Leena Das
-1955,,"Comedy, Drama, Romance",7.5,13,D.N. Madhok,Madhubala,Abhi Bhattacharya,Vijayalaxmi
-2003,45 min,Documentary,,,Anjali Monteiro,Bhau Korde,,
-1947,,"Drama, Family",,,S.U. Sunny,Shyam Kumar,Suraiya,Amar
-2005,,Drama,,,,,,
-1954,,"Adventure, Drama, Romance",,,S.K. Ojha,Nalini Jaywant,Ashok Kumar,Murad
-2013,,Action,,,Nabh Kumar 'Raju',Arhan Singh,Elena Kazan,Nagesh Bhonsle
-1953,,,,,Subodh Mitra,Tulsi Chakraborty,Vasant Choudhury,Devbala
-2021,,Drama,,,Sujoy Mukherjee,Amika Shail,Salim Zaidi,Vaibhav Shukla
-1960,,Drama,,,Tara Harish,Chandrashekhar,Kumkum,K.N. Singh
-1989,131 min,Horror,4.8,27,Mohanji Prasad,Meenakshi Sheshadri,Nitish Bharadwaj,Sadashiv Amrapurkar
-1991,,"Drama, Musical",3.9,21,Babbar Subhash,Sheeba,Saathi Ganguly,Shahbaaz Khan
-2017,,Thriller,,,Iqbal Baksh,Sikender Khan,Rajpal Yadav,
-1951,,Romance,6.9,12,Hira Singh,Dev Anand,Madhubala,Sunalini Devi
-1943,118 min,,,,Zia Sarhadi,Aman,Noor Jehan,Masood
-1971,156 min,Drama,6.7,13,Deven Verma,Asha Parekh,Navin Nischol,Nirupa Roy
-2003,,Thriller,,,Shakeela,,,
-2003,,Thriller,,,,,,
-2000,,Thriller,,,Mumtaz,Sindhuri,Sona,Urvashi
-2002,81 min,Thriller,,,Shakeela,,,
-1984,,Drama,,,Ved Rahi,Rakesh Bedi,Master Bhagwan,Aruna Irani
-1968,126 min,History,7.1,8,S.N. Tripathi,Feroz Khan,Kumari Naaz,Sheikh Mukhtar
-1934,,,,,Jayant Desai,Noor Mohammad Charlie,Ishwarlal,
-1962,,Drama,,,,,,
-1982,143 min,"Drama, Romance",7.9,863,Govind Moonis,Sachin Pilgaonkar,Sadhana Singh,Inder Thakur
-1948,126 min,Drama,6.8,46,Kishore Sahu,Dilip Kumar,Kamini Kaushal,David Abraham
-1990,,"Drama, Family",,,Rajshri Nair,Sheela Sharma,,
-1973,,Romance,5.5,13,Shyam Ralhan,Rakesh Roshan,Yogeeta Bali,Prem Chopra
-1987,,Action,,,Anup Malik,Shoma Anand,Arun Govil,Mazhar Khan
-1989,,"Action, Adventure, Drama",4.9,24,Mehul Kumar,Dharmendra,Jeetendra,Anita Raj
-1992,,Action,,,Sujit Guha,Victor Banerjee,Prasenjit Chatterjee,Utpal Dutt
-1978,,Drama,,,Rajni Bala,Rita Bhaduri,Nalin Dave,Mahesh Joshi
-2016,45 min,Documentary,,,Bhaavna Israni,,,
-2016,73 min,Documentary,7.2,86,Krishna Agazzi,Filippo Gastaldi,,
-1943,,,,,Vishram Bedekar,Leela Desai,Kusum Deshpande,Pratima Devi
-2000,150 min,"Drama, Fantasy",5.6,23,Om Sai Prakash,Soundarya,Prema,Sai Kumar
-1934,,,,,Jyotish Bannerjee,Anwari,Nimbalkar,
-1966,,Action,,,,,,
-1935,,,,,Y.V. Rao,Tara,,
-2020,93 min,Documentary,,,Nagnath Kharat,Malan Kharat,Ramchandra Kharat,Ganesh Pund
-1955,,Drama,,,,,,
-1954,139 min,"Drama, Musical, Romance",6.7,61,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Jeevan
-1976,180 min,"Fantasy, Thriller, Action",6.3,442,Rajkumar Kohli,Sunil Dutt,Feroz Khan,Vinod Mehra
-2021,,"Drama, Fantasy",,,Vishal Furia,Shraddha Kapoor,,
-1992,,"Fantasy, Musical",,,Mohan T. Gehani,Neelima Azim,Goga Kapoor,Shakti Kapoor
-1987,,Drama,,,Ambika,Madhavi,,
-1966,,Fantasy,,,Balwant Bhatt,Master Bhagwan,Shakeela Bano Bhopali,Bela Bose
-1979,,"Adventure, Drama, Thriller",6.2,8,Shantilal Soni,Vijay Arora,Rita Bhaduri,Mahesh Bhatt
-1988,,"Action, Drama, Fantasy",,,Asrani,Iftekhar,Jayshree T.,
-1986,137 min,"Fantasy, Romance",6.5,880,Harmesh Malhotra,Sridevi,Rishi Kapoor,Amrish Puri
-1951,,"Mystery, Romance, Thriller",6.2,21,Ravindra Dave,Nutan,Nasir Khan,Bipin Gupta
-1945,,"Action, Adventure, Drama",4.8,6,Master Bhagwan,Master Vithal,Khurshid Jr.,Master Bhagwan
-2014,,Drama,,,Atul Garg,Darshan Jariwala,Deepshikha Nagpal,Govind Namdeo
-1947,,,,,D.K. Sapru,,,
-1950,,,,,S.D. Narang,,,
-1934,,,,,Balwant Bhatt,Gulab,Kashinath,
-1942,,,,,Abdul Rashid Kardar,Paidi Jairaj,,
-1973,122 min,Drama,,,B.R. Ishara,Reena Roy,Satyen,Danny Denzongpa
-1981,,Drama,,,Ram Pahwa,Parikshit Sahni,Vidya Sinha,Sarika
-1943,,,,,D.D. Kashyap,Paresh Bannerjee,Paidi Jairaj,Rose
-1960,,"Drama, Family",,,P.L. Santoshi,Daisy Irani,Sheila Kashmiri,Sailesh Kumar
-1946,,Drama,7.4,7,Kant J. Parmar,Jeevan,Ranjana,Rajkumari Shukla
-1959,,"Drama, Family",,,Brij,Ashok Kumar,Geeta Bali,Anoop Kumar
-1990,,Horror,,,Devan,Balan K. Nair,S. Shailaza,
-1948,,,,,S.K. Ojha,Geeta Bali,Sulochana Latkar,Rajendra
-1941,,,,,Chimankant Gandhi,Lalit J. Mehta,Sardar Akhtar,Meena Kumari
-1967,158 min,"Drama, Family",6.3,20,C.V. Sridhar,Ashok Kumar,Mala Sinha,Raaj Kumar
-1965,,"Drama, Family, Musical",6.3,13,R. Chandra,Rajeev,Tanuja,Ulhas
-1951,,,,,Mohan Sinha,Nirupa Roy,Amarnath,Ulhas
-1943,,,,,S. Khalil,Sheikh Mukhtar,Anees Khatoon,Lala Yaqoob
-1969,,Action,,,Jeevan,Prithviraj Kapoor,Dev Kumar,Kumkum
-2021,128 min,Drama,7.4,"3,737",Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari
-1986,,,,,Gouri,Kamal Kapoor,Kunal Kapoor,Ravindra Mahajani
-1953,,,,,Ravindra Dave,Geeta Bali,Abhi Bhattacharya,Leela Mishra
-1973,134 min,"Drama, Romance",6.3,28,Kanak Mishra,Shashi Kapoor,Moushumi Chatterjee,Rehman
-2005,104 min,"Drama, Horror, Mystery",4.3,773,Shripal Morakhia,Urmila Matondkar,Anuj Sawhney,Malavikka
-1998,,Romance,,,Simran,Srividya,,
-1989,,"Action, Crime",4.1,18,Mehul Kumar,Shatrughan Sinha,Sonam,Chunky Panday
-1979,116 min,"Drama, Family",6.8,15,Prashant Nanda,Baldev Khosa,Zarina Wahab,Leela Mishra
-1943,121 min,Drama,7.5,30,Mehboob Khan,Ashok Kumar,Sitara,Veena
-1951,,Romance,,,Geeta Bali,Nasir Khan,Heera Sawant,
-2005,,Thriller,,,Pratap Chandra,,,
-1960,,Drama,,,Master Bhagwan,Shakeela Bano Bhopali,Daljeet,Uma Dutt
-1981,117 min,"Drama, Family, Romance",6.4,30,Dilip Naik,Kulbhushan Kharbanda,Raj Kiran,Swaroop Sampat
-2019,,Drama,7,42,Zaigham Imam,Inaamulhaq,Sharib Hashmi,Kumud Mishra
-1933,,,,,Khurshid Begum,Patience Cooper,,
-1962,134 min,"Drama, Romance",5.9,7,Tara Harish,Ashok Kumar,Manoj Kumar,Shakila
-2006,128 min,"Action, Adventure, Fantasy",3.3,"1,074",Sachin Bajaj,Sunny Deol,Vivek Oberoi,Sameera Reddy
-2010,122 min,"Crime, Drama, Mystery",5,56,Mohan Savalkar,Malaika Arora,Jhuma Biswas,Suresh Chatwal
-1988,135 min,Drama,,,Jasubhai,Nalin Dave,Manher Desai,Mahesh Joshi
-1933,,,,,Akhtari,Mukhtar Begum,Krishna Chandra Dey,Indubala
-2004,,"Drama, Romance",7.2,78,V. Nagendra Prasad,Sudeep,Sangeetha,Srinath
-2009,101 min,"Action, Drama, History",6.1,12,Abhijeet Kumar,Durba Sahay,Kumar Amlendu,Rajeev Ashish
-1996,148 min,"Action, Drama, Family",4.1,51,Kawal Sharma,Sanjay Dutt,Farha Naaz,Sidhant Salaria
-1947,,Drama,,,Balwant Dave,Dulari,Bhim,Dilawar
-1982,171 min,"Action, Comedy, Drama",7.3,"2,420",Prakash Mehra,Waheeda Rehman,Shashi Kapoor,Amitabh Bachchan
-1973,146 min,Drama,7.3,"1,564",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Simi Garewal
-1978,,Drama,,,Satyendra Kapoor,Baldev Khosa,Ramesh Mehta,Kiran Seth
-1943,,,,,M. Sadiq,S.U. Sunny,Allauddin,Protima Dasgupta
-2018,141 min,"Comedy, Drama, Romance",2.2,"2,644",Vipul Amrutlal Shah,Parineeti Chopra,Arjun Kapoor,Paul Blackwell
,,Action,,,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,,
-1965,,Comedy,,,Daljit Krishan,Mehmood,Ameeta,Ajit
-2007,128 min,"Comedy, Drama, Romance",7.1,"20,942",Vipul Amrutlal Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor
-2018,84 min,Adventure,7.4,94,Dar Gai,Arya Dave,Namdev Gurav,Zoya Hussain
-1982,112 min,"Drama, Family",7.6,420,Gulzar,Sanjeev Kumar,Sharmila Tagore,Shabana Azmi
-2005,,Thriller,,,Rajesh Sabharwal,Vinod Tripathi,,
-1991,,Romance,,,Kasi Nath,,,
-1994,,Drama,5,9,Dhalapathi,Manager Cheena,Ganthimathi,Charu Haasan
-2010,152 min,"Action, Crime, Romance",5.4,426,Sreenu Vaitla,Venkatesh Daggubati,Trisha Krishnan,Brahmanandam
-1949,,"Drama, Romance",7.1,16,Hira Singh,Kishore Sahu,Kamini Kaushal,Leela Chitnis
-1988,,"Drama, Mystery",6.6,41,Hrishikesh Mukherjee,Raj Babbar,Vinod Mehra,Zeenat Aman
-2020,,Romance,4.9,13,Hidayat Khan,Muntazir Ahmad,Christeena Biju,Princy Biju
-2014,146 min,Drama,8.2,344,A.K. Bir,Arif Zakaria,Puneet Sikka,Adil Hussain
-1934,,,,,B. Pawar,Shahzadi,,
-1948,,,,,Ratilal Hemchand Punatar,Nirupa Roy,,
-1934,,,,,Nanubhai Vakil,Zubeida,Shahu Modak,Master Dinkar
-2015,45 min,Documentary,,,Mahim Joshi,Vivek Oberoi,,
-1938,,,,,Keshavrao Dhaiber,Durga Khote,,
